file,language,function,signature,ploc_file,lloc_file,cyclomatic,fan_in,fan_out
linux/fs/super.c,c,__super_lock,__super_lock(),1993,1035,2,2,0
linux/fs/super.c,c,super_unlock,super_unlock(),1993,1035,2,4,0
linux/fs/super.c,c,__super_lock_excl,__super_lock_excl(),1993,1035,1,4,1
linux/fs/super.c,c,super_unlock_excl,super_unlock_excl(),1993,1035,1,11,1
linux/fs/super.c,c,super_unlock_shared,super_unlock_shared(),1993,1035,1,6,1
linux/fs/super.c,c,super_flags,super_flags(),1993,1035,1,3,1
linux/fs/super.c,c,super_lock,super_lock(),1993,1035,3,6,4
linux/fs/super.c,c,super_lock_shared,super_lock_shared(),1993,1035,1,1,1
linux/fs/super.c,c,super_lock_excl,super_lock_excl(),1993,1035,1,4,1
linux/fs/super.c,c,super_wake,super_wake(),1993,1035,1,4,1
linux/fs/super.c,c,super_cache_scan,super_cache_scan(),1993,1035,1,0,5
linux/fs/super.c,c,super_cache_count,super_cache_count(),1993,1035,1,1,2
linux/fs/super.c,c,destroy_super_work,destroy_super_work(),1993,1035,1,1,1
linux/fs/super.c,c,destroy_super_rcu,destroy_super_rcu(),1993,1035,1,0,0
linux/fs/super.c,c,destroy_unused_super,destroy_unused_super(),1993,1035,2,2,2
linux/fs/super.c,c,alloc_super,alloc_super(),1993,1035,10,0,1
linux/fs/super.c,c,__put_super,__put_super(),1993,1035,2,4,0
linux/fs/super.c,c,put_super,put_super(),1993,1035,1,8,1
linux/fs/super.c,c,kill_super_notify,kill_super_notify(),1993,1035,3,2,1
linux/fs/super.c,c,deactivate_locked_super,deactivate_locked_super(),1993,1035,2,20,4
linux/fs/super.c,c,deactivate_super,deactivate_super(),1993,1035,2,14,2
linux/fs/super.c,c,grab_super,grab_super(),1993,1035,3,1,4
linux/fs/super.c,c,super_trylock_shared,super_trylock_shared(),1993,1035,5,4,1
linux/fs/super.c,c,retire_super,retire_super(),1993,1035,2,1,2
linux/fs/super.c,c,generic_shutdown_super,generic_shutdown_super(),1993,1035,1,7,11
linux/fs/super.c,c,list_for_each_entry,list_for_each_entry(),1993,1035,1,680,857
linux/fs/super.c,c,mount_capable,mount_capable(),1993,1035,2,2,0
linux/fs/super.c,c,hlist_for_each_entry,hlist_for_each_entry(),1993,1035,1,43,41
linux/fs/super.c,c,hlist_for_each_entry,hlist_for_each_entry(),1993,1035,1,43,41
linux/fs/super.c,c,drop_super,drop_super(),1993,1035,1,2,2
linux/fs/super.c,c,drop_super_exclusive,drop_super_exclusive(),1993,1035,1,1,2
linux/fs/super.c,c,first_super,first_super(),1993,1035,2,0,0
linux/fs/super.c,c,next_super,next_super(),1993,1035,1,0,0
linux/fs/super.c,c,hlist_for_each_entry,hlist_for_each_entry(),1993,1035,1,43,41
linux/fs/super.c,c,user_get_super,user_get_super(),1993,1035,1,2,3
linux/fs/super.c,c,list_for_each_entry,list_for_each_entry(),1993,1035,1,680,857
