file,language,function,signature,ploc_file,lloc_file,cyclomatic,fan_in,fan_out
ITK/Modules/Registration/FEM/include/itkNCCRegistrationFunction.h,c,SetMovingImageInterpolator,SetMovingImageInterpolator(),172,65,1,0,0
ITK/Modules/Registration/FEM/include/itkNCCRegistrationFunction.h,c,GetMovingImageInterpolator,GetMovingImageInterpolator(),172,65,1,0,0
ITK/Modules/Registration/FEM/include/itkMIRegistrationFunction.h,c,SetMovingImageInterpolator,SetMovingImageInterpolator(),187,77,1,0,0
ITK/Modules/Registration/FEM/include/itkMIRegistrationFunction.h,c,GetMovingImageInterpolator,GetMovingImageInterpolator(),187,77,1,0,0
ITK/Modules/Registration/FEM/include/itkMIRegistrationFunction.h,c,SetMinNorm,SetMinNorm(),187,77,1,0,0
ITK/Modules/Registration/FEM/include/itkMIRegistrationFunction.h,c,SetDoInverse,SetDoInverse(),187,77,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,GetMovingImage,GetMovingImage(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,GetOriginalMovingImage,GetOriginalMovingImage(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,GetFixedImage,GetFixedImage(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,GetWarpedImage,GetWarpedImage(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,GetJacobianImage,GetJacobianImage(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,GetDisplacementField,GetDisplacementField(),630,265,1,0,3
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetDisplacementField,SetDisplacementField(),630,265,1,1,7
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetMeshPixelsPerElementAtEachResolution,SetMeshPixelsPerElementAtEachResolution(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetNumberOfIntegrationPoints,SetNumberOfIntegrationPoints(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetWidthOfMetricRegion,SetWidthOfMetricRegion(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,GetWidthOfMetricRegion,GetWidthOfMetricRegion(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetMaximumIterations,SetMaximumIterations(),630,265,1,0,3
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetElasticity,SetElasticity(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,GetElasticity,GetElasticity(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetRho,SetRho(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetGamma,SetGamma(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetDescentDirectionMinimize,SetDescentDirectionMinimize(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetDescentDirectionMaximize,SetDescentDirectionMaximize(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,GetImageSize,GetImageSize(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,GetMetricType,GetMetricType(),630,265,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetElement,SetElement(),630,265,1,12,1
ITK/Modules/Registration/FEM/include/itkFEMRegistrationFilter.h,c,SetMaterial,SetMaterial(),630,265,1,0,1
ITK/Modules/Registration/FEM/include/itkFEMFiniteDifferenceFunctionLoad.h,c,SetDifferenceFunction,SetDifferenceFunction(),285,138,1,7,5
ITK/Modules/Registration/FEM/include/itkFEMFiniteDifferenceFunctionLoad.h,c,SetMetric,SetMetric(),285,138,1,0,3
ITK/Modules/Registration/FEM/include/itkFEMFiniteDifferenceFunctionLoad.h,c,SetMovingImage,SetMovingImage(),285,138,1,5,2
ITK/Modules/Registration/FEM/include/itkFEMFiniteDifferenceFunctionLoad.h,c,SetFixedImage,SetFixedImage(),285,138,1,5,2
ITK/Modules/Registration/FEM/include/itkFEMFiniteDifferenceFunctionLoad.h,c,GetMovingImage,GetMovingImage(),285,138,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMFiniteDifferenceFunctionLoad.h,c,GetFixedImage,GetFixedImage(),285,138,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMFiniteDifferenceFunctionLoad.h,c,SetMetricRadius,SetMetricRadius(),285,138,1,0,0
ITK/Modules/Registration/FEM/include/itkFEMFiniteDifferenceFunctionLoad.h,c,GetMetricRadius,GetMetricRadius(),285,138,1,0,0
