file,language,function,signature,ploc_file,lloc_file,cyclomatic,fan_in,fan_out
linux/kernel/tsacct.c,c,bacct_add_tsk,bacct_add_tsk(),159,90,1,1,4
linux/kernel/tsacct.c,c,xacct_add_tsk,xacct_add_tsk(),159,90,1,1,2
linux/kernel/tsacct.c,c,__acct_update_integrals,__acct_update_integrals(),159,90,1,2,0
linux/kernel/tsacct.c,c,acct_update_integrals,acct_update_integrals(),159,90,1,1,2
linux/kernel/tsacct.c,c,acct_account_cputime,acct_account_cputime(),159,90,1,2,1
linux/kernel/tsacct.c,c,acct_clear_integrals,acct_clear_integrals(),159,90,1,1,0
linux/kernel/latencytop.c,c,sysctl_latencytop,sysctl_latencytop(),253,124,1,0,2
linux/kernel/latencytop.c,c,clear_tsk_latency_tracing,clear_tsk_latency_tracing(),253,124,1,1,0
linux/kernel/latencytop.c,c,clear_global_latency_tracing,clear_global_latency_tracing(),253,124,1,1,0
linux/kernel/latencytop.c,c,account_global_scheduler_latency,account_global_scheduler_latency(),253,124,1,1,0
linux/kernel/latencytop.c,c,__account_scheduler_latency,__account_scheduler_latency(),253,124,1,0,2
linux/kernel/latencytop.c,c,lstats_show,lstats_show(),253,124,1,0,0
linux/kernel/latencytop.c,c,lstats_write,lstats_write(),253,124,1,0,1
linux/kernel/latencytop.c,c,lstats_open,lstats_open(),253,124,1,0,0
linux/kernel/latencytop.c,c,init_lstats_procfs,init_lstats_procfs(),253,124,1,0,0
linux/kernel/crash_core_test.c,c,create_crash_mem,create_crash_mem(),312,206,1,1,0
linux/kernel/crash_core_test.c,c,assert_ranges_equal,assert_ranges_equal(),312,206,1,1,0
linux/kernel/crash_core_test.c,c,run_exclude_test_case,run_exclude_test_case(),312,206,3,2,3
linux/kernel/crash_core_test.c,c,exclude_single_range_test,exclude_single_range_test(),312,206,2,0,2
linux/kernel/crash_core_test.c,c,exclude_range_regression_test,exclude_range_regression_test(),312,206,2,0,2
linux/kernel/static_call_inline.c,c,static_call_force_reinit,static_call_force_reinit(),451,276,2,1,0
linux/kernel/static_call_inline.c,c,static_call_lock,static_call_lock(),451,276,1,3,1
linux/kernel/static_call_inline.c,c,static_call_unlock,static_call_unlock(),451,276,1,3,1
linux/kernel/static_call_inline.c,c,static_call_addr,static_call_addr(),451,276,1,4,0
linux/kernel/static_call_inline.c,c,__static_call_key,__static_call_key(),451,276,1,5,0
linux/kernel/static_call_inline.c,c,static_call_key,static_call_key(),451,276,1,4,1
linux/kernel/static_call_inline.c,c,static_call_is_init,static_call_is_init(),451,276,1,2,1
linux/kernel/static_call_inline.c,c,static_call_is_tail,static_call_is_tail(),451,276,1,2,1
linux/kernel/static_call_inline.c,c,static_call_set_init,static_call_set_init(),451,276,1,1,1
linux/kernel/static_call_inline.c,c,static_call_site_cmp,static_call_site_cmp(),451,276,3,0,1
linux/kernel/static_call_inline.c,c,static_call_site_swap,static_call_site_swap(),451,276,1,0,0
linux/kernel/static_call_inline.c,c,static_call_sort_entries,static_call_sort_entries(),451,276,1,1,0
linux/kernel/static_call_inline.c,c,static_call_key_has_mods,static_call_key_has_mods(),451,276,1,3,0
linux/kernel/static_call_inline.c,c,static_call_key_next,static_call_key_next(),451,276,2,2,1
linux/kernel/static_call_inline.c,c,static_call_key_sites,static_call_key_sites(),451,276,2,2,1
linux/kernel/static_call_inline.c,c,__static_call_update,__static_call_update(),451,276,13,2,11
linux/kernel/static_call_inline.c,c,__static_call_init,__static_call_init(),451,276,1,3,9
linux/kernel/static_call_inline.c,c,addr_conflict,addr_conflict(),451,276,3,2,1
