file,language,function,signature,ploc_file,lloc_file,cyclomatic,fan_in,fan_out
linux/mm/gup_test.c,c,put_back_pages,put_back_pages(),333,253,1,1,1
linux/mm/gup_test.c,c,verify_dma_pinned,verify_dma_pinned(),333,253,1,1,1
linux/mm/gup_test.c,c,dump_pages_test,dump_pages_test(),333,253,1,1,1
linux/mm/gup_test.c,c,__gup_test_ioctl,__gup_test_ioctl(),333,253,1,1,8
linux/mm/gup_test.c,c,pin_longterm_test_stop,pin_longterm_test_stop(),333,253,1,3,2
linux/mm/gup_test.c,c,pin_longterm_test_start,pin_longterm_test_start(),333,253,15,1,4
linux/mm/gup_test.c,c,pin_longterm_test_read,pin_longterm_test_read(),333,253,5,1,0
linux/mm/gup_test.c,c,pin_longterm_test_ioctl,pin_longterm_test_ioctl(),333,253,1,1,3
linux/mm/gup_test.c,c,gup_test_ioctl,gup_test_ioctl(),333,253,1,0,2
linux/mm/gup_test.c,c,gup_test_release,gup_test_release(),333,253,1,0,1
linux/mm/gup_test.c,c,gup_test_init,gup_test_init(),333,253,1,0,0
linux/mm/filemap.c,c,page_cache_delete,page_cache_delete(),4157,2020,1,1,0
linux/mm/filemap.c,c,filemap_unaccount_folio,filemap_unaccount_folio(),4157,2020,1,2,5
linux/mm/filemap.c,c,__filemap_remove_folio,__filemap_remove_folio(),4157,2020,1,6,2
linux/mm/filemap.c,c,filemap_free_folio,filemap_free_folio(),4157,2020,2,3,0
linux/mm/filemap.c,c,filemap_remove_folio,filemap_remove_folio(),4157,2020,2,5,2
linux/mm/filemap.c,c,page_cache_delete_batch,page_cache_delete_batch(),4157,2020,1,1,1
linux/mm/filemap.c,c,xas_for_each,xas_for_each(),4157,2020,14,11,8
linux/mm/filemap.c,c,delete_from_page_cache_batch,delete_from_page_cache_batch(),4157,2020,1,1,3
linux/mm/filemap.c,c,filemap_check_errors,filemap_check_errors(),4157,2020,6,3,0
linux/mm/filemap.c,c,filemap_check_and_keep_errors,filemap_check_and_keep_errors(),4157,2020,4,2,0
linux/mm/filemap.c,c,filemap_fdatawrite_wbc,filemap_fdatawrite_wbc(),4157,2020,1,2,1
linux/mm/filemap.c,c,__filemap_fdatawrite_range,__filemap_fdatawrite_range(),4157,2020,1,6,1
linux/mm/filemap.c,c,__filemap_fdatawrite,__filemap_fdatawrite(),4157,2020,1,2,1
linux/mm/filemap.c,c,filemap_fdatawrite,filemap_fdatawrite(),4157,2020,1,0,1
linux/mm/filemap.c,c,filemap_fdatawrite_range,filemap_fdatawrite_range(),4157,2020,1,0,1
linux/mm/filemap.c,c,filemap_fdatawrite_range_kick,filemap_fdatawrite_range_kick(),4157,2020,1,0,1
linux/mm/filemap.c,c,filemap_flush,filemap_flush(),4157,2020,1,1,1
linux/mm/filemap.c,c,filemap_range_has_page,filemap_range_has_page(),4157,2020,1,1,0
linux/mm/filemap.c,c,__filemap_fdatawait_range,__filemap_fdatawait_range(),4157,2020,1,6,2
linux/mm/filemap.c,c,filemap_fdatawait_range,filemap_fdatawait_range(),4157,2020,1,0,2
linux/mm/filemap.c,c,filemap_fdatawait_range_keep_errors,filemap_fdatawait_range_keep_errors(),4157,2020,1,0,2
linux/mm/filemap.c,c,file_fdatawait_range,file_fdatawait_range(),4157,2020,1,0,2
linux/mm/filemap.c,c,filemap_fdatawait_keep_errors,filemap_fdatawait_keep_errors(),4157,2020,1,0,2
linux/mm/filemap.c,c,mapping_needs_writeback,mapping_needs_writeback(),4157,2020,1,2,0
linux/mm/filemap.c,c,filemap_range_has_writeback,filemap_range_has_writeback(),4157,2020,1,0,1
linux/mm/filemap.c,c,xas_for_each,xas_for_each(),4157,2020,14,11,8
linux/mm/filemap.c,c,filemap_write_and_wait_range,filemap_write_and_wait_range(),4157,2020,1,2,4
linux/mm/filemap.c,c,__filemap_set_wb_err,__filemap_set_wb_err(),4157,2020,1,0,0
linux/mm/filemap.c,c,file_check_and_advance_wb_err,file_check_and_advance_wb_err(),4157,2020,4,2,0
linux/mm/filemap.c,c,file_write_and_wait_range,file_write_and_wait_range(),4157,2020,1,0,4
linux/mm/filemap.c,c,replace_page_cache_folio,replace_page_cache_folio(),4157,2020,6,0,1
linux/mm/filemap.c,c,__filemap_add_folio,__filemap_add_folio(),4157,2020,1,2,3
linux/mm/filemap.c,c,xas_for_each_conflict,xas_for_each_conflict(),4157,2020,1,2,0
linux/mm/filemap.c,c,filemap_add_folio,filemap_add_folio(),4157,2020,1,8,4
linux/mm/filemap.c,c,filemap_alloc_folio_noprof,filemap_alloc_folio_noprof(),4157,2020,4,0,1
linux/mm/filemap.c,c,filemap_invalidate_lock_two,filemap_invalidate_lock_two(),4157,2020,1,0,0
linux/mm/filemap.c,c,filemap_invalidate_unlock_two,filemap_invalidate_unlock_two(),4157,2020,1,0,0
linux/mm/filemap.c,c,folio_waitqueue,folio_waitqueue(),4157,2020,1,4,0
linux/mm/filemap.c,c,pagecache_init,pagecache_init(),4157,2020,2,0,1
linux/mm/filemap.c,c,wake_page_function,wake_page_function(),4157,2020,10,0,1
linux/mm/filemap.c,c,folio_wake_bit,folio_wake_bit(),4157,2020,6,5,1
linux/mm/filemap.c,c,folio_trylock_flag,folio_trylock_flag(),4157,2020,1,2,0
linux/mm/filemap.c,c,folio_wait_bit_common,folio_wait_bit_common(),4157,2020,1,6,2
linux/mm/filemap.c,c,__releases,__releases(),4157,2020,1,0,17
linux/mm/filemap.c,c,folio_wait_bit,folio_wait_bit(),4157,2020,1,2,1
linux/mm/filemap.c,c,folio_wait_bit_killable,folio_wait_bit_killable(),4157,2020,1,2,1
linux/mm/filemap.c,c,folio_put_wait_locked,folio_put_wait_locked(),4157,2020,1,2,1
linux/mm/filemap.c,c,folio_unlock,folio_unlock(),4157,2020,2,131,1
linux/mm/filemap.c,c,folio_end_read,folio_end_read(),4157,2020,5,0,1
linux/mm/filemap.c,c,folio_end_private_2,folio_end_private_2(),4157,2020,1,0,1
linux/mm/filemap.c,c,folio_wait_private_2,folio_wait_private_2(),4157,2020,2,0,1
linux/mm/filemap.c,c,folio_wait_private_2_killable,folio_wait_private_2_killable(),4157,2020,3,0,1
linux/mm/filemap.c,c,filemap_end_dropbehind,filemap_end_dropbehind(),4157,2020,5,2,1
linux/mm/filemap.c,c,folio_end_dropbehind,folio_end_dropbehind(),4157,2020,6,1,2
linux/mm/filemap.c,c,folio_end_writeback_no_dropbehind,folio_end_writeback_no_dropbehind(),4157,2020,5,1,4
linux/mm/filemap.c,c,folio_end_writeback,folio_end_writeback(),4157,2020,2,6,3
linux/mm/filemap.c,c,__folio_lock,__folio_lock(),4157,2020,1,2,1
linux/mm/filemap.c,c,__folio_lock_killable,__folio_lock_killable(),4157,2020,1,2,1
linux/mm/filemap.c,c,__folio_lock_async,__folio_lock_async(),4157,2020,2,1,1
linux/mm/filemap.c,c,__folio_lock_or_retry,__folio_lock_or_retry(),4157,2020,7,0,2
linux/mm/filemap.c,c,page_cache_next_miss,page_cache_next_miss(),4157,2020,1,1,0
linux/mm/filemap.c,c,page_cache_prev_miss,page_cache_prev_miss(),4157,2020,1,1,0
linux/mm/filemap.c,c,filemap_get_entry,filemap_get_entry(),4157,2020,1,6,0
linux/mm/filemap.c,c,__filemap_get_folio,__filemap_get_folio(),4157,2020,1,3,5
linux/mm/filemap.c,c,find_get_entry,find_get_entry(),4157,2020,1,4,0
linux/mm/filemap.c,c,find_get_entries,find_get_entries(),4157,2020,5,3,1
linux/mm/filemap.c,c,find_lock_entries,find_lock_entries(),4157,2020,1,3,2
linux/mm/filemap.c,c,filemap_get_folios,filemap_get_folios(),4157,2020,1,1,1
linux/mm/filemap.c,c,filemap_get_folios_contig,filemap_get_folios_contig(),4157,2020,1,1,0
linux/mm/filemap.c,c,filemap_get_folios_tag,filemap_get_folios_tag(),4157,2020,1,3,1
linux/mm/filemap.c,c,shrink_readahead_size_eio,shrink_readahead_size_eio(),4157,2020,1,1,0
linux/mm/filemap.c,c,filemap_get_read_batch,filemap_get_read_batch(),4157,2020,1,1,0
linux/mm/filemap.c,c,filemap_read_folio,filemap_read_folio(),4157,2020,1,4,1
linux/mm/filemap.c,c,filemap_range_uptodate,filemap_range_uptodate(),4157,2020,1,1,0
linux/mm/filemap.c,c,filemap_update_page,filemap_update_page(),4157,2020,1,2,5
linux/mm/filemap.c,c,filemap_create_folio,filemap_create_folio(),4157,2020,1,2,3
linux/mm/filemap.c,c,filemap_readahead,filemap_readahead(),4157,2020,1,1,1
linux/mm/filemap.c,c,filemap_get_pages,filemap_get_pages(),4157,2020,1,2,5
linux/mm/filemap.c,c,pos_same_folio,pos_same_folio(),4157,2020,1,1,0
linux/mm/filemap.c,c,filemap_end_dropbehind_read,filemap_end_dropbehind_read(),4157,2020,1,1,2
linux/mm/filemap.c,c,filemap_read,filemap_read(),4157,2020,1,1,5
linux/mm/filemap.c,c,kiocb_write_and_wait,kiocb_write_and_wait(),4157,2020,3,1,1
linux/mm/filemap.c,c,filemap_invalidate_pages,filemap_invalidate_pages(),4157,2020,1,1,3
linux/mm/filemap.c,c,kiocb_invalidate_pages,kiocb_invalidate_pages(),4157,2020,1,1,1
linux/mm/filemap.c,c,generic_file_read_iter,generic_file_read_iter(),4157,2020,16,0,2
linux/mm/filemap.c,c,splice_folio_into_pipe,splice_folio_into_pipe(),4157,2020,1,2,0
linux/mm/filemap.c,c,filemap_splice_read,filemap_splice_read(),4157,2020,1,0,4
linux/mm/filemap.c,c,folio_seek_hole_data,folio_seek_hole_data(),4157,2020,1,1,1
linux/mm/filemap.c,c,seek_folio_size,seek_folio_size(),4157,2020,2,1,0
linux/mm/filemap.c,c,mapping_seek_hole_data,mapping_seek_hole_data(),4157,2020,1,1,3
linux/mm/filemap.c,c,lock_folio_maybe_drop_mmap,lock_folio_maybe_drop_mmap(),4157,2020,1,1,3
linux/mm/filemap.c,c,do_sync_mmap_readahead,do_sync_mmap_readahead(),4157,2020,17,2,3
linux/mm/filemap.c,c,do_async_mmap_readahead,do_async_mmap_readahead(),4157,2020,1,1,3
linux/mm/filemap.c,c,filemap_fault_recheck_pte_none,filemap_fault_recheck_pte_none(),4157,2020,8,1,3
linux/mm/filemap.c,c,filemap_fault,filemap_fault(),4157,2020,27,0,9
linux/mm/filemap.c,c,filemap_map_pmd,filemap_map_pmd(),4157,2020,1,1,3
linux/mm/filemap.c,c,next_uptodate_folio,next_uptodate_folio(),4157,2020,1,1,1
linux/mm/filemap.c,c,filemap_map_folio_range,filemap_map_folio_range(),4157,2020,1,2,2
linux/mm/filemap.c,c,filemap_map_order0_folio,filemap_map_order0_folio(),4157,2020,1,1,2
linux/mm/filemap.c,c,filemap_map_pages,filemap_map_pages(),4157,2020,1,0,5
linux/mm/filemap.c,c,filemap_page_mkwrite,filemap_page_mkwrite(),4157,2020,1,0,3
linux/mm/filemap.c,c,generic_file_mmap,generic_file_mmap(),4157,2020,1,1,0
linux/mm/filemap.c,c,generic_file_mmap_prepare,generic_file_mmap_prepare(),4157,2020,1,1,0
linux/mm/filemap.c,c,generic_file_readonly_mmap,generic_file_readonly_mmap(),4157,2020,1,0,1
linux/mm/filemap.c,c,generic_file_readonly_mmap_prepare,generic_file_readonly_mmap_prepare(),4157,2020,1,0,1
linux/mm/filemap.c,c,filemap_page_mkwrite,filemap_page_mkwrite(),4157,2020,1,0,3
linux/mm/filemap.c,c,generic_file_mmap,generic_file_mmap(),4157,2020,1,1,0
linux/mm/filemap.c,c,generic_file_mmap_prepare,generic_file_mmap_prepare(),4157,2020,1,1,0
linux/mm/filemap.c,c,generic_file_readonly_mmap,generic_file_readonly_mmap(),4157,2020,1,0,1
linux/mm/filemap.c,c,generic_file_readonly_mmap_prepare,generic_file_readonly_mmap_prepare(),4157,2020,1,0,1
linux/mm/filemap.c,c,do_read_cache_folio,do_read_cache_folio(),4157,2020,1,3,5
linux/mm/filemap.c,c,read_cache_folio,read_cache_folio(),4157,2020,1,0,1
linux/mm/filemap.c,c,mapping_read_folio_gfp,mapping_read_folio_gfp(),4157,2020,1,1,1
linux/mm/filemap.c,c,do_read_cache_page,do_read_cache_page(),4157,2020,1,2,1
linux/mm/filemap.c,c,read_cache_page,read_cache_page(),4157,2020,1,0,1
linux/mm/filemap.c,c,read_cache_page_gfp,read_cache_page_gfp(),4157,2020,1,0,1
linux/mm/filemap.c,c,dio_warn_stale_pagecache,dio_warn_stale_pagecache(),4157,2020,3,1,0
linux/mm/filemap.c,c,kiocb_invalidate_post_direct_write,kiocb_invalidate_post_direct_write(),4157,2020,3,1,2
linux/mm/filemap.c,c,generic_file_direct_write,generic_file_direct_write(),4157,2020,11,1,3
linux/mm/filemap.c,c,generic_perform_write,generic_perform_write(),4157,2020,13,2,2
linux/mm/filemap.c,c,__generic_file_write_iter,__generic_file_write_iter(),4157,2020,1,1,2
linux/mm/filemap.c,c,generic_file_write_iter,generic_file_write_iter(),4157,2020,3,0,1
